,Immoweb ID,Property type,property sub-type,Price,Post code,Building condition,Kitchen type,Bedrooms,Furnished,Terrace surface,Tenement building,Number of frontages,Swimming pool,How many fireplaces?,Garden,Garden orientation,Garden surface,Terrace,Surface of the plot
7742,9696984,HOUSE,VILLA,689000.0,3980,As new,Hyper equipped,5.0,No,1.0,No,4.0,Yes,,,,1.0,,2190.0
7743,8586118,HOUSE,VILLA,690000.0,1860,,,5.0,No,,No,4.0,,,,,,,978.0
7744,9660147,HOUSE,VILLA,720000.0,2980,Good,,3.0,No,,No,,,,,West,3905.0,,3905.0
7745,9657039,HOUSE,VILLA,785000.0,2980,As new,,4.0,No,,No,,Yes,,,South,1717.0,,1717.0
7746,9661658,HOUSE,VILLA,850000.0,1850,,Installed,3.0,No,,No,4.0,No,,,,,Yes,803.0
7747,9632690,HOUSE,VILLA,995000.0,2930,As new,Installed,4.0,No,1.0,No,1.0,No,1.0,,South,4000.0,,12000.0
7748,8957434,HOUSE,VILLA,1495000.0,2350,Good,Installed,5.0,No,,No,,Yes,,Yes,West,,Yes,3138.0
7749,9669443,HOUSE,VILLA,1495000.0,2470,As new,Installed,4.0,No,,No,,,,Yes,South East,,,3487.0
7750,9655859,HOUSE,VILLA,284500.0,9600,,,,,,No,,,,,,,,
7751,8641183,HOUSE,VILLA,284500.0,9600,,,,,,No,,,,,,,,
7752,9520541,HOUSE,VILLA,349300.0,9255,,,,,,No,,,,,,,,
7753,9695344,HOUSE,VILLA,484000.0,2018,,,,,,No,,,,,,,,
7754,9728539,HOUSE,VILLA,365000.0,1450,Just renovated,Installed,5.0,No,22.0,No,4.0,No,,,,250.0,,410.0
7755,9143799,HOUSE,VILLA,135000.0,6150,To renovate,Semi equipped,4.0,No,30.0,No,4.0,,,,,600.0,,617.0
7756,9649966,HOUSE,VILLA,249000.0,6180,As new,Installed,3.0,,,No,3.0,,,,,,,1700.0
7757,9685757,HOUSE,VILLA,395000.0,2235,Good,,,No,,No,4.0,,,,,,,772.0
7758,9624135,HOUSE,VILLA,475000.0,4452,As new,USA hyper equipped,4.0,,,No,4.0,,,,,667.0,Yes,809.0
7759,9487404,HOUSE,VILLA,549000.0,3940,Good,Installed,4.0,No,,No,4.0,No,,Yes,North,,,5657.0
7760,9704555,HOUSE,VILLA,600000.0,2630,Good,,4.0,,27.0,No,4.0,,,,,432.0,,819.0
7761,9696866,HOUSE,VILLA,699000.0,1500,,Hyper equipped,3.0,No,,No,4.0,No,,,,,Yes,1567.0
